index,recall,subword,idsubword
283,0.899737532808399,ထြန္း,134021
1433,0.8981627296587926,owicz,103396
592,0.8939632545931758,说道,45994
1075,0.8745406824146982,රත්න,60093
1328,0.8745406824146982,俊,53390
1966,0.8740157480314961,夫妇,210449
536,0.8719160104986876,ұлы,51217
1653,0.8713910761154856,ప్రసాద్,124841
1660,0.8703412073490814,鄧,229053
747,0.8692913385826772,骞,248225
288,0.8682414698162729,शंकर,102625
116,0.8671916010498688,owskiego,108207
1369,0.8561679790026246,Элбэгдорж,240572
561,0.8545931758530184,李克强,217862
321,0.85249343832021,兒子,90249
899,0.8472440944881889,加上,27043
1,0.8461942257217848,son,-7
380,0.8451443569553806,దీప్,187836
442,0.84251968503937,iņš,28815
689,0.8414698162729659,සේකර,170901
1239,0.8388451443569553,擔任,77154
1183,0.8356955380577428,වංශ,188374
1779,0.8351706036745407,彼得,162651
711,0.8346456692913385,的話,32463
1839,0.8346456692913385,彬,202573
1228,0.8330708661417323,絕對是,204174
1195,0.8304461942257217,รู้,21268
948,0.8283464566929134,反對,156438
1310,0.8283464566929134,去找,143155
8,0.8230971128608924,ฤทธิ์,151352
1827,0.821522309711286,सँगै,43813
2015,0.820997375328084,見證,193244
263,0.8204724409448819,關心,125390
223,0.8152230971128609,今次,177284
965,0.8141732283464567,[37],230531
1571,0.8136482939632546,rman,41527
1591,0.8110236220472441,究竟是,214310
579,0.810498687664042,נאי,123145
21,0.8089238845144356,を読んで,149757
401,0.8083989501312336,ಪ್ಪ,17679
1240,0.8083989501312336,詮釋,230106
1596,0.8078740157480315,娘,38481
505,0.8073490813648294,દેવ,150259
261,0.8057742782152231,björg,174241
914,0.8047244094488188,痛苦,63955
306,0.8041994750656168,нова,10966
166,0.8031496062992126,不是,4579
1032,0.8031496062992126,тин,6714
1191,0.8020997375328084,เอามา,183296
1263,0.8010498687664042,kivi,105607
590,0.8010498687664042,igoj,125143
444,0.8010498687664042,ใกล้ชิด,217878
1365,0.8,(4,105801
1632,0.7994750656167979,澍,247959
817,0.7994750656167979,當前,175307
1830,0.7994750656167979,пери,68405
584,0.7989501312335958,ஸ்டாலின்,210093
393,0.7989501312335958,ova,2914
707,0.7984251968503937,rík,106654
1307,0.7984251968503937,инов,56126
742,0.7984251968503937,kell,142508
415,0.7979002624671916,laydi,54748
188,0.7979002624671916,を入れて,153387
1736,0.7968503937007874,过去了,188298
1150,0.7963254593175852,結婚,28299
140,0.7963254593175852,dică,164844
1770,0.7963254593175852,ùng,34335
28,0.7958005249343832,յան,6115
1840,0.7958005249343832,立即,40678
1929,0.7952755905511811,推,10238
180,0.7952755905511811,szko,78028
786,0.7931758530183727,čki,19255
124,0.7931758530183727,或,1635
972,0.7921259842519685,的情況,129624
1821,0.7916010498687664,卓,110027
1718,0.7916010498687664,煜,243994
1002,0.7916010498687664,ංග,19348
699,0.7916010498687664,ko,265
1403,0.7905511811023622,跩,247690
1597,0.7900262467191601,fft,125927
668,0.7900262467191601,ുവിന്റെ,188783
882,0.789501312335958,سي,15162
1122,0.7889763779527559,指示,76858
1035,0.7884514435695538,iņu,25539
1587,0.7884514435695538,trage,91600
703,0.7884514435695538,kasika,110326
512,0.7884514435695538,अनु,152870
624,0.7879265091863517,శ్రీ,132288
120,0.7868766404199475,หลังจาก,82771
940,0.7868766404199475,茉,243678
1849,0.7863517060367454,洪,45139
730,0.7858267716535433,faj,50559
891,0.7853018372703412,ໃນຂະນະ,218741
213,0.7847769028871391,-08-,47355
1697,0.7847769028871391,zaro,58100
1801,0.7847769028871391,ziak,131724
403,0.784251968503937,ചന്ദ്രന്,213209
1754,0.7837270341207349,дис,65496
1013,0.7837270341207349,吉,14460
1209,0.7837270341207349,ሽግግር,232646
1894,0.7832020997375329,фер,15997
1231,0.7832020997375329,«,93840
278,0.7826771653543307,てきて,172415
1148,0.7826771653543307,ទាមទារ,221768
610,0.7821522309711286,រិយា,225992
372,0.7816272965879265,ることができ,151940
501,0.7816272965879265,arsi,75417
169,0.7811023622047244,─,86834
681,0.7811023622047244,還沒有,198982
504,0.7811023622047244,嗔,245941
1611,0.7811023622047244,رشاد,156110
1351,0.7811023622047244,אוהד,219081
792,0.7805774278215223,utin,48635
1979,0.7805774278215223,drà,107233
1572,0.7805774278215223,渍,245225
477,0.7800524934383202,dhal,95096
33,0.7800524934383202,çî,126559
128,0.7800524934383202,穿上,178105
41,0.7800524934383202,jäsen,169132
186,0.7800524934383202,屜,249809
